Piece ID,CBM per Piece,Grade,Last Movement,Length (mm),Lots,Material,Material Status,Material Type,Net Movement,Original Qty,Rack,Remaining Qty,Thickness (mm),Transactions,Unit,Width (mm)
RL-BRS4-011,0.010,B Grade,🟢 Receive,3200,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-012,0.005,B Grade,🟢 Receive,1700,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-013,0.077,B Grade,🟢 Receive,4000,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,6,,6,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-014,0.011,B Grade,🟢 Receive,3500,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-015,0.008,B Grade,🟢 Receive,2500,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-016,0.007,B Grade,🟢 Receive,2800,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,65
RL-BRS4-017,0.012,B Grade,🟢 Receive,3900,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-018,0.012,B Grade,🟢 Receive,4000,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-019,0.005,B Grade,🟢 Receive,1750,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-020,0.009,B Grade,🟢 Receive,2900,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-021,0.006,B Grade,🟢 Receive,2100,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-022,0.012,B Grade,🟢 Receive,4000,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,78
RL-BRS4-023,0.006,B Grade,🟢 Receive,2100,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-024,0.008,B Grade,🟢 Receive,2500,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-025,0.006,B Grade,🟢 Receive,2100,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-026,0.006,B Grade,🟢 Receive,1800,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-027,0.009,B Grade,🟢 Receive,2950,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-028,0.009,B Grade,🟢 Receive,2800,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-029,0.010,B Grade,🟢 Receive,2800,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,85
RL-BRS4-030,0.005,B Grade,🟢 Receive,1700,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-031,0.008,B Grade,🟢 Receive,2500,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-032,0.013,B Grade,🟢 Receive,4000,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-033,0.108,B Grade,🟢 Receive,4000,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,9,,9,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
